antarmaster,https://kbbi.kata.web.id/antarmaster/,an.tar.mas.ter,antara pemain utama (mewakili berbagai negara): pemain tunggal putra indonesia berhasil menjuarai kejuaraan bulu tangkis antarmaster di inggris
antarnegara,https://kbbi.kata.web.id/antarnegara/,an.tar.ne.ga.ra,antara negara yang terdapat dalam lingkungan tertentu
antarplanet,https://kbbi.kata.web.id/antarplanet/,an.tar.pla.net,antara planet yang satu dan yang lain
antemeridiem,https://kbbi.kata.web.id/antemeridiem/,an.te.me.ri.di.em,sebelum tengah hari
anteng,https://kbbi.kata.web.id/anteng/,an.teng,"(1) tenang; diam (tidak menangis, rewel, dan sebagainya tentang anak-anak); (2) tidak banyak tingkah; (3) senang tinggal di rumah (tidak banyak keluar rumah)"
anter-anter,https://kbbi.kata.web.id/anter-anter/,an.ter-an.ter,sangat lambat (tentang suara)
antik,https://kbbi.kata.web.id/antik/,an.tik,"kuno, tetapi tetap bernilai sebagai hasil karya seni atau benda budaya (tentang barang-barang): koleksi barang antik; (2) nkiasan perilaku, sifat, penampilan, dan sebagainya yang tidak seperti biasanya (tentang orang)"
antikarat,https://kbbi.kata.web.id/antikarat/,an.ti.ka.rat,tahan terhadap pelapukan atau pengikisan akibat karat
antiklinal,https://kbbi.kata.web.id/antiklinal/,an.ti.kli.nal,istilah geografi dan geologi berkaitan dengan punggung lipatan kulit bumi yang berlapis-lapis
antisiklonis,https://kbbi.kata.web.id/antisiklonis/,an.ti.sik.lo.nis,bersifat antisiklon
antisipatif,https://kbbi.kata.web.id/antisipatif/,an.ti.si.pa.tif,bersifat tanggap terhadap sesuatu yang sedang (akan) terjadi: iklan makin responsif dan antisipatif terhadap hal-hal yang sedang populer dalam kehidupan masyarakat
antroposentris,https://kbbi.kata.web.id/antroposentris/,an.tro.po.sen.tris,"berpusat kepada manusia: humanisme barat menolak dewa, memutuskan hubungan dengan surga, lalu menjadi makhluk antroposentris"
anyar,https://kbbi.kata.web.id/anyar/,,baru
anyir,https://kbbi.kata.web.id/anyir/,,berbau seperti bau ikan; amis
apak,https://kbbi.kata.web.id/apak/,,(1) berbau tidak sedap karena telah lama disimpan dan sudah berjamur: roti yang apak itu belum juga dibuang; (2) berbau tidak sedap karena lapuk
apas,https://kbbi.kata.web.id/apas/,,apik; rapi; bagus; indah bentuknya
apatis,https://kbbi.kata.web.id/apatis/,apa.tis,acuh tidak acuh; tidak peduli; masa bodoh: kita tidak boleh bersikap apatis terhadap usaha pembangunan pemerintah
apes,https://kbbi.kata.web.id/apes/,,celaka; sial; tidak beruntung
aplikatif,https://kbbi.kata.web.id/aplikatif/,ap.li.ka.tif,mengenai (berkenaan dengan) penerapan
apodal,https://kbbi.kata.web.id/apodal/,apo.dal,(1) bersifat tanpa kaki; (2) bersifat tanpa sirip pinggul seperti pada belut
apokaliptik,https://kbbi.kata.web.id/apokaliptik/,apo.ka.lip.tik,bersifat apokalips: agama bergabung dengan rasialisme sehingga menumbuhkan sikap serta perilaku yang apokaliptik
apokrin,https://kbbi.kata.web.id/apokrin/,apok.rin,mengenai hilangnya sebagian protoplasma pada waktu bersekresi
apokromatik,https://kbbi.kata.web.id/apokromatik/,apo.kro.ma.tik,istilah fisika bebas dari gangguan penyimpangan warna
aposisional,https://kbbi.kata.web.id/aposisional/,apo.si.si.o.nal,bersifat sebagai tambahan
apositif,https://kbbi.kata.web.id/apositif/,apo.si.tif,bersifat aposisi
apresiatif,https://kbbi.kata.web.id/apresiatif/,ap.re.si.a.tif,bersifat apresiasi
apriori,https://kbbi.kata.web.id/apriori/,ap.ri.o.ri,"berpraanggapan sebelum mengetahui (melihat, menyelidiki, dan sebagainya) keadaan yang sebenarnya: kita tidak boleh bersikap apriori"
aprit-apritan,https://kbbi.kata.web.id/aprit-apritan/,ap.rit-ap.rit.an,dalam keadaan berlari tunggang-langgang; abrit-abritan
apuh,https://kbbi.kata.web.id/apuh/,,habis kandungan airnya karena diperas
arah,https://kbbi.kata.web.id/arah/,,mirip; serupa; hampir sama dengan: hidungnya arah hidung orang arab
arau,https://kbbi.kata.web.id/arau/,,berbintik-bintik; berbelang-belang
argumentatif,https://kbbi.kata.web.id/argumentatif/,ar.gu.men.ta.tif,(1) memiliki (mengandung) alasan yang dapat dipakai sebagai bukti: satu-satunya yang dapat meringankan terdakwa hanyalah kesaksian yang argumentatif; (2) karangan yang bertujuan membuktikan pendapat
arif,https://kbbi.kata.web.id/arif/,,(1) bijaksana; cerdik dan pandai; berilmu: ia terkenal sebagai orang yang arif; (2) paham; mengerti: tidak mungkin seseorang itu arif akan segala hal
arip,https://kbbi.kata.web.id/arip/,,arkais (tidak lazim) sangat mengantuk
aristokratis,https://kbbi.kata.web.id/aristokratis/,aris.tok.ra.tis,bersifat aristokrat
arkais,https://kbbi.kata.web.id/arkais/,ar.ka.is,"(1) berhubungan dengan masa dahulu atau berciri kuno, tua; (2) tidak lazim dipakai lagi (tentang kata); ketinggalan zaman"
arogan,https://kbbi.kata.web.id/arogan/,aro.gan,"(1) sombong; congkak; angkuh; (2) istilah psikologi mempunyai perasaan superioritas yang dimanifestasikan dalam sikap suka memaksa atau pongah: dalam dunia yang penuh manusia arogan dan kepalsuan ini, kemampuan melihat dan merasakan kekuasaan dan kebesaran allah akan menyebabkan seseorang memiliki jiwa besar"
aromatik,https://kbbi.kata.web.id/aromatik/,aro.ma.tik,berkenaan dengan atau mempunyai aroma
aron,https://kbbi.kata.web.id/aron/,,setengah matang (tentang nasi dan ketan)
artetis,https://kbbi.kata.web.id/artetis/,ar.te.tis,bersifat memancar dengan sendirinya (tentang air artesis)
artistik,https://kbbi.kata.web.id/artistik/,ar.tis.tik,(1) mempunyai nilai seni; bersifat seni; (2) mempunyai bakat dalam kesenian; mempunyai rasa seni
